"GPIO",                                                   "Native Fn 1",                                                                           "Native Fn 2",                    "Native Fn 3",        "Native Fn 4",    "n/a",  "Native Fn 5",  "n/a",  "Native Fn 7",
"GP_E02",                                                 "IMGCLKOUT_1",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_E03",                                                 "n/a",                                                                                   "SATA_0_DEVSLP",                  "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_E04",                                                 "IMGCLKOUT_2",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_E05",                                                 "SATA_LED_N",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_E06",                                                 "IMGCLKOUT_3",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_E07",                                                 "n/a",                                                                                   "SATA_1_DEVSLP",                  "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_E08",                                                 "n/a",                                                                                   "Reserved",                       "n/a",                "n/a",            "n/a",  "SATA_0_GP",    "n/a",  "n/a",
"GP_E09",                                                 "n/a",                                                                                   "SML_CLK0",                       "n/a",                "n/a",            "n/a",  "SATA_1_GP",    "n/a",  "n/a",
"GP_E10",                                                 "n/a",                                                                                   "SML_DATA0",                      "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_E11",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "BSSB_LS3_RX",
"GP_E12",                                                 "IMGCLKOUT_4",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "BSSB_LS3_TX",
"GP_E13",                                                 "DDI0_DDC_SCL",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "BSSB_LS0_RX",  "n/a",  "n/a",
"GP_E14",                                                 "DDI0_DDC_SDA",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "BSSB_LS0_TX",  "n/a",  "n/a",
"GP_E15",                                                 "DDI1_DDC_SCL",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "BSSB_LS1_RX",  "n/a",  "n/a",
"GP_E16",                                                 "DDI1_DDC_SDA",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "BSSB_LS1_TX",  "n/a",  "n/a",
"GP_E17",                                                 "DDI2_DDC_SCL",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "BSSB_LS2_RX",  "n/a",  "n/a",
"GP_E18",                                                 "DDI2_DDC_SDA",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "BSSB_LS2_TX",  "n/a",  "n/a",
"GP_E19",                                                 "IMGCLKOUT_5",                                                                           "Reserved",                       "n/a",                "PCIE_LNK_DOWN",  "n/a",  "n/a",          "n/a",  "n/a",
"GP_E20",                                                 "CNV_BRI_DT",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_E21",                                                 "CNV_BRI_RSP",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_E22",                                                 "CNV_RGI_DT",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_E23",                                                 "CNV_RGI_RSP",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
